City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
440,saint-philippe,-21.3585,55.7679,25.06,87,89,5.23,RE,1675222200
441,nhamunda,-2.1861,-56.7131,22.63,93,100,0.96,BR,1675222200
442,aripuana,-9.1667,-60.6333,21.03,99,98,0.37,BR,1675222200
443,garden city,42.3256,-83.331,-8.86,78,40,3.6,US,1675222201
444,alofi,-19.0595,-169.9187,24.94,94,100,2.06,NU,1675222201
445,sumbe,-11.2061,13.8437,25.16,86,92,1.67,AO,1675222202
446,lebedinyy,58.5167,125.5167,-25.24,88,100,4.38,RU,1675222203
447,toora-khem,52.4675,96.11,-17.15,95,93,0.94,RU,1675222205
448,bartica,6.4,-58.6167,24.18,97,12,0.97,GY,1675222207
449,mecca,21.4267,39.8261,21.18,77,22,2.82,SA,1675221672
450,mali,12.079,-12.2982,16.15,21,3,0.62,GN,1675222211
451,saint pete beach,27.7253,-82.7412,20.6,86,0,0.0,US,1675222215
452,cockburn town,21.4612,-71.1419,25.0,72,89,8.68,TC,1675222216
453,suicheng,33.8963,117.9331,7.16,35,79,8.65,CN,1675222218
454,rafraf,37.1904,10.1837,9.17,73,27,3.69,TN,1675222220
455,sawankhalok,17.316,99.8319,20.94,78,83,2.06,TH,1675222221
456,ust-barguzin,53.45,108.9833,-15.09,90,79,0.59,RU,1675222222
457,san cristobal,7.7669,-72.225,19.1,90,87,1.03,VE,1675222223
458,miramar,25.9873,-80.2323,25.01,82,0,3.09,US,1675221643
459,cabra,37.4725,-4.4421,4.94,53,0,1.54,ES,1675222224
460,hualmay,-11.0964,-77.6139,22.22,78,100,2.48,PE,1675222225
461,opunake,-39.4556,173.8583,21.46,83,100,4.27,NZ,1675222225
462,dezful,32.3811,48.4058,11.08,85,13,1.75,IR,1675222227
463,booue,-0.0921,11.9385,22.17,92,85,0.37,GA,1675222130
464,sal rei,16.1833,-22.9167,20.64,73,100,8.58,CV,1675222229
465,mount isa,-20.7333,139.5,30.87,45,75,3.09,AU,1675222229
466,rodrigues alves,-7.738,-72.6509,23.11,96,99,1.46,BR,1675222230
467,novokruchininskiy,51.7833,113.7667,-15.15,68,6,2.19,RU,1675222230
468,virginia beach,36.8529,-75.978,8.02,93,100,3.6,US,1675222023
469,fecamp,49.7579,0.3746,8.49,72,58,7.38,FR,1675222231
470,amazar,53.858,120.875,-15.11,69,93,2.04,RU,1675222231
471,rawson,-43.3002,-65.1023,15.51,59,0,8.59,AR,1675222232
472,riyadh,24.6877,46.7219,15.08,36,30,4.36,SA,1675221993
473,okhotsk,59.3833,143.3,-16.83,95,100,5.65,RU,1675222232
474,touros,-5.1989,-35.4608,26.37,74,100,6.09,BR,1675221936
475,mustasaari,63.1142,21.6822,-4.03,93,100,0.51,FI,1675222233
476,verkhnetulomskiy,68.6073,31.7962,-7.93,97,100,0.8,RU,1675222233
477,yar-sale,66.8333,70.8333,-9.3,94,100,6.89,RU,1675222233
478,sorsk,54.0033,90.2467,-10.1,84,98,1.22,RU,1675222234
479,lydenburg,-25.0978,30.4597,16.18,96,89,0.58,ZA,1675222234
480,glace bay,46.1969,-59.957,-4.5,77,100,6.69,CA,1675222234
481,broome,42.2506,-75.833,-6.66,82,0,2.06,US,1675222235
482,gornopravdinsk,60.05,69.9,-8.62,95,100,3.69,RU,1675222235
483,parana,-31.732,-60.5238,27.54,63,0,3.95,AR,1675221977
484,vila,42.0304,-8.1588,-1.51,70,57,1.83,PT,1675222236
485,tres arroyos,-38.3739,-60.2798,17.19,90,100,2.63,AR,1675221961
486,amahai,-3.3333,128.9167,29.66,69,85,1.31,ID,1675222236
487,half moon bay,37.4636,-122.4286,11.29,45,0,5.66,US,1675222236
488,toyooka,35.5333,134.8333,8.03,65,75,3.09,JP,1675222237
489,daru,-9.0763,143.2092,29.47,77,100,3.12,PG,1675222237
490,vila franca do campo,37.7167,-25.4333,12.23,82,44,3.38,PT,1675222238
491,bereda,43.2686,-7.5406,-1.59,100,29,1.22,ES,1675222238
492,bandundu,-3.3167,17.3667,21.25,94,76,1.46,CD,1675222238
493,westport,41.1415,-73.3579,1.05,56,0,4.02,US,1675222213
494,severodvinsk,64.5635,39.8302,-3.94,88,100,5.1,RU,1675222239
495,krivodanovka,55.0881,82.6551,-24.95,76,100,0.0,RU,1675222239
496,petatlan,17.5167,-101.2667,21.94,79,0,1.73,MX,1675222239
497,urbano santos,-3.2078,-43.4036,22.68,98,99,0.92,BR,1675222240
498,keetmanshoop,-26.5833,18.1333,19.73,37,2,3.52,NA,1675222240
499,paamiut,61.994,-49.6678,-9.96,71,100,4.73,GL,1675222240
500,zemio,5.0314,25.1361,21.22,31,10,0.36,CF,1675222241
501,salina,38.8403,-97.6114,-6.7,68,0,3.09,US,1675222241
502,posse,-14.0931,-46.3694,21.89,67,68,1.2,BR,1675222241
503,margate,51.3813,1.3862,4.83,78,93,1.34,GB,1675222242
504,gamba,-2.65,10.0,24.67,89,95,2.51,GA,1675222242
505,preobrazheniye,42.9019,133.9064,-3.21,79,100,2.24,RU,1675222242
506,griffith,41.5284,-87.4237,-13.08,64,0,5.14,US,1675222243
507,haines junction,60.7522,-137.5108,-12.74,99,94,0.87,CA,1675222243
508,ucluelet,48.9329,-125.5528,4.49,92,100,0.45,CA,1675222244
509,vanavara,60.34,102.2797,-16.68,94,100,1.75,RU,1675222244
510,chute-aux-outardes,49.1168,-68.399,-25.01,84,0,1.03,CA,1675222244
511,talaya,61.3833,152.75,-23.47,96,97,0.67,RU,1675222245
512,wagar,16.1525,36.2032,21.2,78,30,4.4,SD,1675222245
513,grand gaube,-20.0064,57.6608,26.32,80,90,1.34,MU,1675222245
514,black river,18.0264,-77.8487,22.93,83,9,2.61,JM,1675222246
515,ngunguru,-35.6167,174.5,22.35,81,99,4.78,NZ,1675222246
516,puerto del rosario,28.5004,-13.8627,14.86,63,100,4.12,ES,1675222246
517,puerto carreno,6.189,-67.4859,24.52,51,1,2.96,CO,1675222247
518,shenjiamen,29.9576,122.298,12.44,74,0,5.55,CN,1675221650
519,belaya gora,68.5333,146.4167,-23.62,99,99,2.13,RU,1675222247
520,havelock,34.8791,-76.9013,14.97,89,100,0.0,US,1675222248
521,fort nelson,58.8053,-122.7002,-15.23,81,100,4.12,CA,1675222248
522,peschanokopskoye,46.1961,41.0775,2.25,93,98,2.13,RU,1675222248
523,sinazongwe,-17.2614,27.4618,21.72,90,87,1.45,ZM,1675222249
524,aiquile,-18.2041,-65.1807,13.92,90,100,0.66,BO,1675222249
525,pangoa,-12.1167,-73.0,19.71,99,88,0.46,PE,1675222249
526,danesti,46.5167,25.75,-6.67,98,94,1.86,RO,1675222250
527,manjacaze,-24.7117,33.8828,23.38,74,98,0.93,MZ,1675222250
528,berdigestyakh,62.0989,126.6992,-30.26,94,100,3.57,RU,1675222250
529,samut prakan,13.5,100.45,30.59,34,53,1.01,TH,1675222251
530,merauke,-8.4667,140.3333,29.73,71,100,4.05,ID,1675222251
531,san andres,12.5847,-81.7006,27.01,74,40,5.66,CO,1675222252
532,klaksvik,62.2266,-6.589,3.51,91,96,11.95,FO,1675222252
533,namibe,-15.1961,12.1522,21.92,82,100,2.35,AO,1675222252
534,mananara,-16.1667,49.7667,25.35,86,60,2.35,MG,1675222253
535,orlik,52.5178,99.825,-18.47,84,32,0.75,RU,1675222253
536,santiago de las vegas,22.97,-82.3869,22.79,88,20,2.06,CU,1675222253
537,dicabisagan,17.0818,122.4157,26.42,68,92,1.99,PH,1675222254
538,sawtell,-30.3833,153.1,29.55,74,24,4.63,AU,1675222254
539,llata,-9.4167,-76.7833,11.88,93,100,1.42,PE,1675222255
540,devonport,-41.1667,146.35,22.27,38,48,6.32,AU,1675222150
541,moerai,-22.4333,-151.3333,26.31,75,100,3.56,PF,1675222255
542,port hedland,-20.3167,118.5667,35.03,52,25,3.09,AU,1675222256
543,takoradi,4.8845,-1.7554,25.33,88,69,0.14,GH,1675222256
544,wamba,8.9333,8.6,23.09,19,93,1.89,NG,1675222256
545,salalah,17.0151,54.0924,21.05,68,75,2.06,OM,1675221754
546,shimoda,34.6667,138.95,12.2,62,44,8.28,JP,1675222257
547,lodwar,3.1191,35.5973,26.25,44,7,1.63,KE,1675222257
548,iralaya,15.0,-83.2333,25.23,83,3,6.15,HN,1675222257
549,atar,20.5169,-13.0499,18.31,22,80,2.2,MR,1675222258
550,hastings,50.8552,0.5729,5.85,55,44,7.84,GB,1675222258
551,waverly,42.7392,-84.6208,-11.25,73,0,2.57,US,1675222258
552,beloha,-25.1667,45.05,22.23,74,38,6.22,MG,1675222258
553,erenhot,43.6475,111.9767,-11.71,44,0,2.85,CN,1675222259
554,tecoanapa,16.5167,-98.75,24.38,75,0,1.64,MX,1675222259
555,camopi,3.1655,-52.3158,21.2,99,73,1.01,GF,1675222259
556,kindu,-2.95,25.95,18.18,99,100,1.18,CD,1675222260
557,solwezi,-12.1688,26.3894,15.11,98,100,1.15,ZM,1675222260
558,burley,42.5357,-113.7928,-10.95,79,100,5.14,US,1675222261
559,broken hill,-31.95,141.4333,26.51,28,0,4.94,AU,1675222261
560,moose factory,51.2585,-80.6094,-25.01,77,100,2.06,CA,1675222261
561,karlskrona,56.1616,15.5866,4.25,78,99,10.11,SE,1675222262
562,mosquera,4.7059,-74.2302,10.05,100,20,1.03,CO,1675222216
563,kenai,60.5544,-151.2583,0.05,89,100,1.54,US,1675222263
564,rabo de peixe,37.8,-25.5833,11.73,76,40,4.12,PT,1675222264
565,yagodnoye,62.55,149.6667,-26.01,99,97,0.53,RU,1675222264
566,springbok,-29.6643,17.8865,12.67,79,0,1.24,ZA,1675222265
567,san-pedro,4.7485,-6.6363,24.92,92,68,1.17,CI,1675222266
568,coihaique,-45.5752,-72.0662,12.34,66,0,1.54,CL,1675222266
569,blackfoot,43.1905,-112.345,-11.92,88,100,1.82,US,1675222025
570,quatre cocos,-20.2078,57.7625,26.16,72,98,6.32,MU,1675222268
571,kuliyapitiya,7.4688,80.0401,24.82,87,100,1.98,LK,1675222269
572,taltal,-25.4,-70.4833,20.1,84,59,0.71,CL,1675222269
573,zirc,47.2636,17.8737,1.27,83,80,7.93,HU,1675222270
574,grand-lahou,5.1367,-5.0242,24.75,91,20,0.15,CI,1675222271
575,tuatapere,-46.1333,167.6833,21.63,69,97,2.19,NZ,1675222272
576,bubaque,11.2833,-15.8333,24.99,55,14,6.21,GW,1675222273
